n,determinant,correct,additions,multiplications,time
3,-0.3007326854944395,true,4,14,8.797645568847656e-5
4,-0.0914182485192948,true,4,48,9.894371032714844e-5
5,0.0006421896105408927,true,9,75,4.410743713378906e-5
6,-0.034680104248479476,true,9,161,6.794929504394531e-5
7,-0.03171626408347086,true,16,234,7.987022399902344e-5
8,0.02487324637958876,true,16,428,0.00011992454528808594
9,0.013234453891309297,true,25,523,0.00013208389282226562
10,0.01285910338410682,true,25,787,0.00018215179443359375
11,0.0029301914063626453,true,36,978,0.00021910667419433594
12,-0.001454538509480091,true,36,1452,0.0002980232238769531
13,0.029007184690686433,true,49,1675,0.000331878662109375
14,0.042043092392804834,true,49,2247,0.00041413307189941406
15,-0.0027747256356316897,true,64,2644,0.00046896934509277344
16,0.109154059195836,true,64,3568,0.0005919933319091797
17,-0.050642829984470054,true,81,3927,0.0006680488586425781
18,0.002149848855658991,true,81,4843,0.0008769035339355469
19,0.0808964213183821,true,100,5440,0.0009510517120361328
20,-0.03171823731671326,true,100,6848,0.0012090206146240234
21,0.17202215810811197,true,121,7449,0.0013201236724853516
22,-0.34216321107919995,true,121,8923,0.0015227794647216797
23,-0.01647802543817569,true,144,9892,0.0016551017761230469
24,-0.1502250768750519,true,144,12076,0.001986980438232422
25,0.1384120084769202,true,169,12887,0.00214385986328125
26,0.2831560055931086,true,169,14881,0.0023958683013916016
27,1.002389427446266,true,196,16142,0.0026400089263916016
28,2.7486446562171856,true,196,19028,0.003081798553466797
29,0.3528935076394362,true,225,20223,0.012852191925048828
30,5.301189708917926,true,225,23065,0.0034520626068115234
31,-15.208826010262726,true,256,24904,0.004004001617431641
32,-3.647332954839399,true,256,28944,0.004217863082885742
33,-1.5771673325283593,true,289,30343,0.004395008087158203
34,-17.861286428283314,true,289,33747,0.005176067352294922
35,-55.27356602781523,true,324,35836,0.005970954895019531
36,-63.93950694589476,true,324,40608,0.006309032440185547
37,19.59996864124106,true,361,42519,0.006798982620239258
38,-235.3927143070328,true,361,47059,0.0074160099029541016
39,490.7327454854796,true,400,49930,0.008213043212890625
40,-280.0442781526446,true,400,56244,0.009539127349853516
41,-534.381885617465,true,441,58465,0.021445035934448242
42,31604.167880361012,true,441,63789,0.009831905364990234
43,152.82525951187338,true,484,67048,0.010383129119873047
44,22822.82073489069,true,484,74372,0.011713981628417969
45,-64361.92884249962,true,529,77299,0.01215815544128418
46,-606.0215662071649,true,529,84125,0.019945859909057617
47,-105600.45771196307,true,576,88448,0.01346588134765625
48,278303.3067493096,true,576,97792,0.01494598388671875
49,-555485.8026842542,true,625,100931,0.020209074020385742
50,-232027.69623893852,true,625,108433,0.016505002975463867
51,19419.94999202946,true,676,112952,0.021967172622680664
52,-193233.12404590414,true,676,123128,0.019231796264648438
53,-112853.89027302492,true,729,127119,0.023693084716796875
54,1.2891257624631764e6,true,729,136453,0.019865036010742188
55,4.463754362185613e6,true,784,142282,0.025300979614257812
56,6.650861910888105e7,true,784,154932,0.027637958526611328
57,5.650500596391874e7,true,841,159291,0.029659032821655273
58,5.326979927666153e8,true,841,169595,0.024442195892333984
59,1.1501852041540225e8,true,900,175830,0.030055999755859375
60,4.774317640404717e8,true,900,189684,0.032217979431152344
61,-3.78804600405297e9,true,961,195153,0.032235145568847656
62,6.76047089702729e8,true,961,207743,0.033660888671875
63,-1.7957297305112853e9,true,1024,215658,0.034088850021362305
64,-8.282329986795451e10,true,1024,232576,0.0367588996887207
65,9.671760752969678e10,true,1089,238103,0.03860187530517578
66,4.205987006297752e10,true,1089,251219,0.041021108627319336
67,-2.3525638917967294e11,true,1156,259012,0.04509687423706055
68,-3.8350183890307905e12,true,1156,276496,0.043730974197387695
69,-1.001948928757773e11,true,1225,283243,0.049417972564697266
70,-5.423281159119874e11,true,1225,298963,0.04838418960571289
71,6.614948585085735e12,true,1296,308670,0.05402803421020508
72,-3.273309570250094e11,true,1296,329684,0.057736873626708984
73,7.89682561227343e12,true,1369,336815,0.054949045181274414
74,-8.179243217401122e13,true,1369,353613,0.061663150787353516
75,-1.4884648432103534e14,true,1444,363666,0.06510710716247559
76,-2.9550236825792705e15,true,1444,385964,0.07113480567932129
77,-2.1365239752182442e15,true,1521,394649,0.0685570240020752
78,-6.124007568122187e16,true,1521,414605,0.07082700729370117
79,-4.1313300899598756e14,true,1600,427042,0.07826805114746094
80,-2.3284543922707948e16,true,1600,453584,0.07678413391113281
81,-7.098777014157356e16,true,1681,462245,0.08370399475097656
82,2.8385079879204676e16,true,1681,482669,0.08276796340942383
83,3.243249902186418e18,true,1764,494758,0.08764004707336426
84,6.233643863260355e17,true,1764,521712,0.09383511543273926
85,1.0133087842696446e19,true,1849,532069,0.09450793266296387
86,-3.3699375547892244e18,true,1849,556025,0.09614300727844238
87,5.347421136279214e18,true,1936,570788,0.09902215003967285
88,-4.6972482430487554e20,true,1936,602532,0.10234689712524414
89,1.5386949592167226e20,true,2025,613247,0.10435700416564941
90,-3.140197255346934e20,true,2025,638311,0.11087298393249512
91,9.223279690775509e21,true,2116,653282,0.11044096946716309
92,-4.574742206529912e21,true,2116,686276,0.11949610710144043
93,-1.1056040734090961e22,true,2209,699109,0.11865496635437012
94,5.803749353251542e22,true,2209,728371,0.12282800674438477
95,-2.1095646598809552e23,true,2304,746598,0.12529277801513672
96,-1.9450274338231364e23,true,2304,785232,0.13085198402404785
97,4.7013551906157457e24,true,2401,797635,0.13866686820983887
98,-1.5384116478061633e25,true,2401,826809,0.138962984085083
99,-9.258907849777409e24,true,2500,843964,0.14232516288757324
100,1.6361625351741766e26,true,2500,882184,0.15067696571350098
101,-1.8133520447857318e27,true,2601,896753,0.15300202369689941
102,6.691698438445066e27,true,2601,930429,0.16173696517944336
103,2.2243441028239964e26,true,2704,951060,0.1555790901184082
104,-6.561026483835718e25,true,2704,995420,0.16588521003723145
105,1.9703219107902982e28,true,2809,1010279,0.17080092430114746
106,-7.339228400974343e27,true,2809,1045015,0.17438292503356934
107,2.243783467545397e28,true,2916,1065638,0.17342400550842285
108,4.642463047724952e29,true,2916,1111100,0.18858599662780762
109,-7.808024717301692e29,true,3025,1128647,0.18433594703674316
110,-1.005708624960538e29,true,3025,1168675,0.19159197807312012
111,1.8285761011658266e31,true,3136,1193480,0.1982259750366211
112,-1.2849371189424657e32,true,3136,1246080,0.20696496963500977
113,1.2026572447631976e31,true,3249,1263039,0.20548486709594727
114,-4.390845711876884e30,true,3249,1302771,0.21259403228759766
115,-8.165376223361565e32,true,3364,1326128,0.2146129608154297
116,-6.062279460864923e32,true,3364,1377936,0.224837064743042
117,3.308760055957141e33,true,3481,1397685,0.22257399559020996
118,-9.659738129173966e30,true,3481,1443091,0.23557591438293457
119,-7.984325228444994e34,true,3600,1470928,0.23357892036437988
120,-9.43558720218765e33,true,3600,1530476,0.24439597129821777
121,-1.427468598266834e34,true,3721,1550405,0.24853515625
122,-2.652153751102736e34,true,3721,1596745,0.2626309394836426
123,2.7847716663416714e36,true,3844,1624280,0.26261115074157715
124,2.716364964878883e36,true,3844,1684668,0.2659430503845215
125,-2.370955415704544e37,true,3969,1708021,0.27456092834472656
126,-2.339226253109396e37,true,3969,1760961,0.2797510623931885
127,-1.0774681389462295e39,true,4096,1793818,0.2763209342956543
128,4.545395970850843e39,true,4096,1863104,0.29517197608947754
129,-1.8802503793980008e39,true,4225,1885079,0.30948710441589355
130,4.4659919797698465e40,true,4225,1936563,0.31128692626953125
131,-2.3234821791093716e40,true,4356,1966644,0.3193340301513672
132,-3.3596525991931594e40,true,4356,2033488,0.3280160427093506
133,4.200364997601888e40,true,4489,2058771,0.33855581283569336
134,-3.515405596563398e41,true,4489,2117043,0.33952879905700684
135,-1.782354442334169e42,true,4624,2152550,0.35025501251220703
136,1.582815412754826e42,true,4624,2228724,0.37265610694885254
137,-8.072885716415448e43,true,4761,2254035,0.37093210220336914
138,5.966433887722962e44,true,4761,2313037,0.38487911224365234
139,-3.7686552145240836e45,true,4900,2347870,0.38709497451782227
140,4.0831162648226693e45,true,4900,2424508,0.4107809066772461
141,-7.241066217386581e45,true,5041,2453885,0.40789198875427246
142,-1.6634682216688486e46,true,5041,2520749,0.4257228374481201
143,1.6655889556989588e46,true,5184,2561998,0.43975305557250977
144,1.7989552611649723e47,true,5184,2649296,0.44957494735717773
145,2.854635315191765e49,true,5329,2677235,0.46103715896606445
146,-2.1175925935691868e50,true,5329,2742525,0.470034122467041
147,3.5567504269760716e49,true,5476,2780712,0.47888898849487305
148,3.344206306080759e49,true,5476,2865272,0.498370885848999
149,-1.8649072203678098e49,true,5625,2897303,0.5048601627349854
150,1.5489694942667588e50,true,5625,2970809,0.5162479877471924
151,-7.295645669376643e50,true,5776,3015682,0.5282819271087646
152,2.539736032324832e52,true,5776,3111524,0.5411920547485352
153,1.8536423156178352e53,true,5929,3143389,0.5503809452056885
154,-5.744984929982009e53,true,5929,3217343,0.5628178119659424
155,1.0812508784753925e52,true,6084,3261092,0.7512149810791016
156,1.8450658428850105e55,true,6084,3356908,0.5801270008087158
157,2.0409916219054835e54,true,6241,3393759,0.6001729965209961
158,-2.9443251603507826e55,true,6241,3477163,0.6080770492553711
159,-1.3806471936216197e55,true,6400,3528748,0.6157739162445068
160,3.2031562734544055e55,true,6400,3637360,0.6330530643463135
161,-9.696388970902735e55,true,6561,3671701,0.6450271606445312
162,-3.20958789355805e56,true,6561,3751925,0.6512670516967773
163,-9.770492177276611e57,true,6724,3798674,0.6640598773956299
164,4.028303289506424e59,true,6724,3902288,0.6793010234832764
165,-5.2858941730608486e57,true,6889,3941355,0.6787328720092773
166,-1.1457978020549737e61,true,6889,4031121,0.7036259174346924
167,-4.857114184045117e59,true,7056,4085714,0.7113640308380127
168,-3.338578104648763e60,true,7056,4202508,0.7338409423828125
169,-4.11291101014842e60,true,7225,4241173,0.7426731586456299
170,-6.486771913987323e61,true,7225,4331027,0.7526628971099854
171,2.6844011534096233e61,true,7396,4383968,0.753842830657959
172,2.714865077150772e63,true,7396,4500132,0.7858898639678955
173,6.745098405721289e62,true,7569,4544565,0.7907721996307373
174,1.9443627592680304e64,true,7569,4645367,0.8133220672607422
175,-1.6774313239230374e65,true,7744,4707474,0.8211560249328613
176,1.8295862887479452e64,true,7744,4838528,0.8460919857025146
177,-2.8131386326044824e66,true,7921,4880307,0.8384439945220947
178,-3.130763733087102e66,true,7921,4977663,0.8598120212554932
179,5.3218628731564934e67,true,8100,5034500,0.8722372055053711
180,1.5006977620913972e68,true,8100,5160048,0.8977940082550049
181,-3.5743846141122045e68,true,8281,5207509,0.9045181274414062
182,4.7038777100748834e69,true,8281,5316103,0.9172711372375488
183,-6.60128392921275e67,true,8464,5382312,0.9202280044555664
184,-5.614217748968857e68,true,8464,5523356,0.9434571266174316
185,9.57487138806373e69,true,8649,5570137,0.9474689960479736
186,-1.9034373653973757e70,true,8649,5678381,0.967275857925415
187,3.901745867148445e71,true,8836,5742332,0.9724538326263428
188,3.2769187546060885e73,true,8836,5882028,1.1736559867858887
189,3.855763798609123e72,true,9025,5935693,1.0122020244598389
190,-4.9313005574072066e73,true,9025,6056765,1.038257122039795
191,2.786883909788027e72,true,9216,6131594,1.0446889400482178
192,7.631027550425163e73,true,9216,6288704,1.0563199520111084
193,4.801930076905009e75,true,9409,6338067,1.0722289085388184
194,1.1367142502108672e76,true,9409,6453209,1.1222331523895264
195,1.0812372631728631e77,true,9604,6520116,1.1002280712127686
196,-1.6053090748681087e77,true,9604,6668280,1.129762887954712
197,-2.9006728834424485e77,true,9801,6723949,1.1367919445037842
198,-4.1488488690961197e79,true,9801,6851741,1.1528849601745605
199,1.8461676479325736e79,true,10000,6929264,1.1655020713806152
200,3.0246588973297746e79,true,10000,7095004,1.2115161418914795
