n,correct,additions,multiplications,inversions,lu_factorizations,execution_time
3,1.0,45,21,2,4.0,0.2374345
4,1.0,50,21,5,6.0,0.0001098
5,1.0,395,189,6,8.0,8.47e-5
6,1.0,659,294,9,10.0,0.0001115
7,1.0,664,294,12,12.0,0.000103
8,1.0,709,308,17,14.0,0.0001319
9,1.0,3161,1505,18,16.0,0.0003454
10,1.0,5238,2345,21,18.0,0.0004951
11,1.0,5502,2450,24,20.0,0.0005618
12,1.0,6238,2737,29,22.0,0.0006053
13,1.0,6243,2737,32,24.0,0.0008618
14,1.0,6288,2751,37,26.0,0.0006323
15,1.0,6333,2765,42,28.0,0.000684
16,1.0,6418,2793,49,30.0,0.0006541
17,1.0,23619,11193,50,32.0,0.002329
18,1.0,38387,17178,53,34.0,0.0037773
19,1.0,40464,18018,56,36.0,0.0039657
20,1.0,46037,20216,61,38.0,0.0132876
21,1.0,46301,20321,64,40.0,0.0038464
22,1.0,47037,20608,69,42.0,0.0039844
23,1.0,47773,20895,74,44.0,0.0039647
24,1.0,48981,21364,81,46.0,0.004623
25,1.0,48986,21364,84,48.0,0.0061055
26,1.0,49031,21378,89,50.0,0.009456
27,1.0,49076,21392,94,52.0,0.0042019
28,1.0,49161,21420,101,54.0,0.004078
29,1.0,49206,21434,106,56.0,0.0040695
30,1.0,49291,21462,113,58.0,0.0042
31,1.0,49376,21490,120,60.0,0.0066942
32,1.0,49501,21532,129,62.0,0.0042782
33,0.0,169945,80353,130,64.0,0.0157162
34,1.0,273550,122353,133,66.0,0.0251601
35,1.0,288318,128338,136,68.0,0.0281104
36,1.0,327750,143913,141,70.0,0.0290946
37,1.0,329827,144753,144,72.0,0.029534
38,1.0,335400,146951,149,74.0,0.0317027
39,1.0,340973,149149,154,76.0,0.0315562
40,1.0,350042,152705,161,78.0,0.0342151
41,1.0,350306,152810,164,80.0,0.0328804
42,1.0,351042,153097,169,82.0,0.0311144
43,1.0,351778,153384,174,84.0,0.0326476
44,1.0,352986,153853,181,86.0,0.0305846
45,1.0,353722,154140,186,88.0,0.030115
46,1.0,354930,154609,193,90.0,0.0300926
47,1.0,356138,155078,200,92.0,0.032343
48,1.0,357818,155729,209,94.0,0.0303699
49,1.0,357823,155729,212,96.0,0.029929
50,1.0,357868,155743,217,98.0,0.0321891
51,1.0,357913,155757,222,100.0,0.0323217
52,1.0,357998,155785,229,102.0,0.0319988
53,1.0,358043,155799,234,104.0,0.0339035
54,1.0,358128,155827,241,106.0,0.0327644
55,1.0,358213,155855,248,108.0,0.0334561
56,1.0,358338,155897,257,110.0,0.0332082
57,1.0,358383,155911,262,112.0,0.0355767
58,1.0,358468,155939,269,114.0,0.0333757
59,1.0,358553,155967,276,116.0,0.0349264
60,1.0,358678,156009,285,118.0,0.0349178
61,1.0,358763,156037,292,120.0,0.0358928
62,1.0,358888,156079,301,122.0,0.034065
63,1.0,359013,156121,310,124.0,0.0356999
64,1.0,359178,156177,321,126.0,0.032988
65,1.0,1202323,567945,322,128.0,0.1160996
66,1.0,1927787,862050,325,130.0,0.1774733
67,1.0,2031392,904050,328,132.0,0.1761334
68,1.0,2307837,1013264,333,134.0,0.2151419
69,0.0,2322605,1019249,336,136.0,0.2070657
70,1.0,2362037,1034824,341,138.0,0.2034674
71,1.0,2401469,1050399,346,140.0,0.2121745
72,1.0,2465565,1075564,353,142.0,0.2172096
73,1.0,2467642,1076404,356,144.0,0.2088742
74,1.0,2473215,1078602,361,146.0,0.2110981
75,1.0,2478788,1080800,366,148.0,0.2240012
76,1.0,2487857,1084356,373,150.0,0.2118598
77,1.0,2493430,1086554,378,152.0,0.2111255
78,1.0,2502499,1090110,385,154.0,0.2148584
79,1.0,2511568,1093666,392,156.0,0.2128698
80,1.0,2524133,1098580,401,158.0,0.2134422
81,0.0,2524397,1098685,404,160.0,0.2165397
82,1.0,2525133,1098972,409,162.0,0.2109267
83,1.0,2525869,1099259,414,164.0,0.2145073
84,1.0,2527077,1099728,421,166.0,0.2134566
85,1.0,2527813,1100015,426,168.0,0.2111592
86,1.0,2529021,1100484,433,170.0,0.2143195
87,1.0,2530229,1100953,440,172.0,0.2129258
88,0.0,2531909,1101604,449,174.0,0.2136508
89,1.0,2532645,1101891,454,176.0,0.2095224
90,1.0,2533853,1102360,461,178.0,0.2105575
91,1.0,2535061,1102829,468,180.0,0.2175593
92,1.0,2536741,1103480,477,182.0,0.2150085
93,0.0,2537949,1103949,484,184.0,0.2148841
94,0.0,2539629,1104600,493,186.0,0.2154344
95,1.0,2541309,1105251,502,188.0,0.2172502
96,1.0,2543461,1106084,513,190.0,0.2162025
97,0.0,2543466,1106084,516,192.0,0.2177096
98,1.0,2543511,1106098,521,194.0,0.2196032
99,1.0,2543556,1106112,526,196.0,0.2151047
100,1.0,2543641,1106140,533,198.0,0.2156242
101,1.0,2543686,1106154,538,200.0,0.2222526
102,1.0,2543771,1106182,545,202.0,0.2216743
103,1.0,2543856,1106210,552,204.0,0.2182135
104,1.0,2543981,1106252,561,206.0,0.2113848
105,0.0,2544026,1106266,566,208.0,0.2239447
106,1.0,2544111,1106294,573,210.0,0.2151399
107,0.0,2544196,1106322,580,212.0,0.2256739
108,1.0,2544321,1106364,589,214.0,0.2160404
109,1.0,2544406,1106392,596,216.0,0.2164358
110,1.0,2544531,1106434,605,218.0,0.2104545
111,1.0,2544656,1106476,614,220.0,0.2162033
112,1.0,2544821,1106532,625,222.0,0.2222787
113,0.0,2544866,1106546,630,224.0,0.2404749
114,0.0,2544951,1106574,637,226.0,0.462169
115,1.0,2545036,1106602,644,228.0,0.2067627
116,0.0,2545161,1106644,653,230.0,0.2104271
117,0.0,2545246,1106672,660,232.0,0.2291315
118,0.0,2545371,1106714,669,234.0,0.2075436
119,0.0,2545496,1106756,678,236.0,0.2118309
120,1.0,2545661,1106812,689,238.0,0.2068994
121,0.0,2545746,1106840,696,240.0,0.2096047
122,0.0,2545871,1106882,705,242.0,0.208311
123,1.0,2545996,1106924,714,244.0,0.220693
124,0.0,2546161,1106980,725,246.0,0.2121653
125,0.0,2546286,1107022,734,248.0,0.209888
126,0.0,2546451,1107078,745,250.0,0.2088522
127,0.0,2546616,1107134,756,252.0,0.2066409
128,0.0,2546821,1107204,769,254.0,0.216396
129,0.0,8448873,3989601,770,256.0,0.7806909
130,0.0,13527350,6048441,773,258.0,1.1798328
131,0.0,14252814,6342546,776,260.0,1.2356746
132,1.0,16188350,7107233,781,262.0,1.3807158
133,0.0,16291955,7149233,784,264.0,1.3442489
134,1.0,16568400,7258447,789,266.0,1.3932795
135,1.0,16844845,7367661,794,268.0,1.4468124
136,0.0,17294130,7544089,801,270.0,1.4436743
137,1.0,17308898,7550074,804,272.0,1.4170298
138,0.0,17348330,7565649,809,274.0,1.4226171
139,0.0,17387762,7581224,814,276.0,1.4843809
140,0.0,17451858,7606389,821,278.0,1.4574648
141,0.0,17491290,7621964,826,280.0,1.4969877
142,0.0,17555386,7647129,833,282.0,1.5097864
143,0.0,17619482,7672294,840,284.0,1.4864634
144,1.0,17708242,7707049,849,286.0,1.4562899
145,1.0,17710319,7707889,852,288.0,1.4695985
146,0.0,17715892,7710087,857,290.0,1.4853395
147,0.0,17721465,7712285,862,292.0,1.497341
148,0.0,17730534,7715841,869,294.0,1.5105868
149,0.0,17736107,7718039,874,296.0,1.5101363
150,0.0,17745176,7721595,881,298.0,1.5161042
151,0.0,17754245,7725151,888,300.0,1.4777183
152,0.0,17766810,7730065,897,302.0,1.5033522
153,0.0,17772383,7732263,902,304.0,1.501904
154,0.0,17781452,7735819,909,306.0,1.4815147
155,0.0,17790521,7739375,916,308.0,1.4930847
156,1.0,17803086,7744289,925,310.0,1.4877965
157,1.0,17812155,7747845,932,312.0,1.6423107
158,0.0,17824720,7752759,941,314.0,1.4829489
159,0.0,17837285,7757673,950,316.0,1.533036
160,0.0,17853346,7763945,961,318.0,1.5075403
161,1.0,17853610,7764050,964,320.0,1.5609742
162,0.0,17854346,7764337,969,322.0,1.5068896
163,0.0,17855082,7764624,974,324.0,1.5170187
164,0.0,17856290,7765093,981,326.0,1.5211899
165,0.0,17857026,7765380,986,328.0,1.5560005
166,0.0,17858234,7765849,993,330.0,1.4874471
167,0.0,17859442,7766318,1000,332.0,1.492193
168,0.0,17861122,7766969,1009,334.0,1.5249743
169,0.0,17861858,7767256,1014,336.0,1.4774717
170,0.0,17863066,7767725,1021,338.0,1.4875679
171,0.0,17864274,7768194,1028,340.0,1.519349
172,0.0,17865954,7768845,1037,342.0,1.4784857
173,1.0,17867162,7769314,1044,344.0,1.5062269
174,0.0,17868842,7769965,1053,346.0,1.5234259
175,0.0,17870522,7770616,1062,348.0,1.4868821
176,0.0,17872674,7771449,1073,350.0,1.5458044
177,0.0,17873410,7771736,1078,352.0,1.5020437
178,0.0,17874618,7772205,1085,354.0,1.4867595
179,0.0,17875826,7772674,1092,356.0,1.4836581
180,0.0,17877506,7773325,1101,358.0,1.7831624
181,1.0,17878714,7773794,1108,360.0,1.5431498
182,0.0,17880394,7774445,1117,362.0,1.5343292
183,0.0,17882074,7775096,1126,364.0,1.5435164
184,0.0,17884226,7775929,1137,366.0,1.520265
185,0.0,17885434,7776398,1144,368.0,1.4794567
186,0.0,17887114,7777049,1153,370.0,1.4914082
187,0.0,17888794,7777700,1162,372.0,1.522695
188,0.0,17890946,7778533,1173,374.0,1.5196757
189,0.0,17892626,7779184,1182,376.0,1.5090246
190,0.0,17894778,7780017,1193,378.0,1.5277246
191,0.0,17896930,7780850,1204,380.0,1.4908928
192,0.0,17899554,7781865,1217,382.0,1.5189282
193,0.0,17899559,7781865,1220,384.0,1.5068136
194,0.0,17899604,7781879,1225,386.0,1.5039408
195,0.0,17899649,7781893,1230,388.0,1.4851443
196,0.0,17899734,7781921,1237,390.0,1.4979908
197,0.0,17899779,7781935,1242,392.0,1.4770399
198,0.0,17899864,7781963,1249,394.0,1.5188208
199,0.0,17899949,7781991,1256,396.0,1.738232
200,0.0,17900074,7782033,1265,398.0,1.5018464
201,0.0,17900119,7782047,1270,400.0,1.489764
202,0.0,17900204,7782075,1277,402.0,1.4829341
203,0.0,17900289,7782103,1284,404.0,1.5360137
204,0.0,17900414,7782145,1293,406.0,1.4979836
205,0.0,17900499,7782173,1300,408.0,1.5071802
206,0.0,17900624,7782215,1309,410.0,1.4968155
207,0.0,17900749,7782257,1318,412.0,1.5101559
208,0.0,17900914,7782313,1329,414.0,1.4950465
209,0.0,17900959,7782327,1334,416.0,1.4990958
210,0.0,17901044,7782355,1341,418.0,1.5165382
211,0.0,17901129,7782383,1348,420.0,1.5316989
212,0.0,17901254,7782425,1357,422.0,1.5026268
213,0.0,17901339,7782453,1364,424.0,1.4843761
214,0.0,17901464,7782495,1373,426.0,1.7652558
215,0.0,17901589,7782537,1382,428.0,1.4869007
216,0.0,17901754,7782593,1393,430.0,1.504203
217,0.0,17901839,7782621,1400,432.0,1.5193529
218,0.0,17901964,7782663,1409,434.0,1.5015034
219,0.0,17902089,7782705,1418,436.0,1.5025368
220,0.0,17902254,7782761,1429,438.0,1.4742739
221,0.0,17902379,7782803,1438,440.0,1.5079626
222,0.0,17902544,7782859,1449,442.0,1.4836445
223,0.0,17902709,7782915,1460,444.0,1.4888198
224,0.0,17902914,7782985,1473,446.0,1.493412
225,0.0,17902959,7782999,1478,448.0,1.5059607
226,0.0,17903044,7783027,1485,450.0,1.4823646
227,0.0,17903129,7783055,1492,452.0,1.4476692
228,0.0,17903254,7783097,1501,454.0,1.6710787
229,0.0,17903339,7783125,1508,456.0,1.5166981
230,0.0,17903464,7783167,1517,458.0,1.5126378
231,0.0,17903589,7783209,1526,460.0,1.4989088
232,0.0,17903754,7783265,1537,462.0,1.4852098
233,0.0,17903839,7783293,1544,464.0,1.4673739
234,0.0,17903964,7783335,1553,466.0,1.4934282
235,0.0,17904089,7783377,1562,468.0,1.5004544
236,0.0,17904254,7783433,1573,470.0,1.5120489
237,0.0,17904379,7783475,1582,472.0,1.4925631
238,0.0,17904544,7783531,1593,474.0,1.4851036
239,0.0,17904709,7783587,1604,476.0,1.4987901
240,0.0,17904914,7783657,1617,478.0,1.487974
241,1.0,17904999,7783685,1624,480.0,1.6429114
242,0.0,17905124,7783727,1633,482.0,1.4617042
243,0.0,17905249,7783769,1642,484.0,1.5290913
244,0.0,17905414,7783825,1653,486.0,1.480823
245,0.0,17905539,7783867,1662,488.0,1.5203962
246,0.0,17905704,7783923,1673,490.0,1.459021
247,0.0,17905869,7783979,1684,492.0,1.456989
248,0.0,17906074,7784049,1697,494.0,1.4500625
249,0.0,17906199,7784091,1706,496.0,1.4525452
250,0.0,17906364,7784147,1717,498.0,1.4623262
251,0.0,17906529,7784203,1728,500.0,1.4398731
252,0.0,17906734,7784273,1741,502.0,1.713359
253,0.0,17906899,7784329,1752,504.0,1.4569227
254,0.0,17907104,7784399,1765,506.0,1.4593434
255,0.0,17907309,7784469,1778,508.0,1.4500519
256,0.0,17907554,7784553,1793,510.0,1.4625954
257,0.0,59221955,27961353,1794,512.0,5.3891331
258,0.0,94771523,42373338,1797,514.0,8.2266106
259,0.0,99850000,44432178,1800,516.0,8.847159
260,0.0,113399173,49785176,1805,518.0,9.6182723
